pressure,temperature,vibration,volume_flow,Motor_power,cooler_condition
157.57,51.47,0.63,6.62,2417.01,3
157.61,51.52,0.64,6.62,2417.64,3
157.55,51.57,0.66,6.62,2415.61,3
157.53,51.61,0.63,6.62,2416.26,3
157.53,51.66,0.63,6.62,2416.15,3
157.63,51.7,0.65,6.63,2416.87,3
157.54,51.74,0.64,6.63,2415.16,3
157.51,51.76,0.64,6.64,2413.12,3
157.52,51.79,0.64,6.62,2412.4,3
157.48,51.85,0.64,6.64,2411.0,3
157.5,51.88,0.64,6.64,2412.43,3
157.47,51.91,0.63,6.63,2411.98,3
157.45,51.93,0.64,6.62,2411.35,3
157.47,51.92,0.63,6.63,2411.76,3
157.44,51.98,0.64,6.62,2409.76,3
157.45,52.0,0.64,6.63,2409.63,3
157.45,52.01,0.64,6.63,2409.81,3
157.44,52.03,0.64,6.64,2410.09,3
157.41,52.06,0.64,6.63,2410.55,3
157.43,52.1,0.64,6.64,2410.03,3
157.41,52.16,0.64,6.62,2408.91,3
157.4,52.16,0.65,6.62,2408.17,3
157.4,52.21,0.65,6.62,2406.79,3
157.34,52.3,0.65,6.62,2409.19,3
157.33,52.38,0.64,6.62,2409.42,3
157.36,52.41,0.64,6.64,2409.18,3
157.33,52.42,0.65,6.62,2409.44,3
157.32,52.53,0.65,6.64,2409.31,3
157.31,52.6,0.64,6.61,2406.85,3
157.29,52.64,0.64,6.62,2407.14,3
157.26,52.7,0.65,6.63,2406.75,3
157.25,52.68,0.65,6.62,2406.83,3
157.24,52.77,0.65,6.6,2406.64,3
157.26,52.8,0.65,6.61,2406.55,3
157.23,52.83,0.64,6.61,2407.51,3
157.22,52.83,0.65,6.6,2407.38,3
157.24,52.89,0.66,6.61,2407.51,3
157.23,52.9,0.64,6.61,2407.11,3
157.24,52.91,0.64,6.61,2409.44,3
157.23,52.94,0.64,6.62,2406.65,3
157.21,52.98,0.65,6.61,2409.02,3
157.21,53.0,0.65,6.63,2411.26,3
157.2,53.02,0.65,6.61,2410.36,3
157.2,53.05,0.65,6.61,2411.29,3
157.17,53.07,0.65,6.62,2412.22,3
157.17,53.12,0.65,6.63,2413.52,3
157.16,53.16,0.63,6.63,2413.38,3
157.15,53.18,0.64,6.61,2414.01,3
157.17,53.19,0.64,6.61,2410.67,3
157.17,53.21,0.65,6.61,2409.27,3
157.13,53.2,0.67,6.63,2406.91,3
157.14,53.26,0.67,6.6,2405.87,3
157.13,53.23,0.64,6.61,2404.47,3
157.13,53.25,0.66,6.61,2404.43,3
157.15,53.28,0.65,6.62,2404.39,3
157.11,53.32,0.65,6.61,2404.58,3
157.12,53.35,0.66,6.62,2403.73,3
157.11,53.35,0.65,6.62,2403.63,3
157.08,53.38,0.64,6.6,2402.31,3
157.07,53.42,0.65,6.6,2401.6,3
157.05,53.46,0.66,6.62,2402.14,3
157.1,53.47,0.65,6.61,2404.36,3
157.07,53.52,0.67,6.6,2404.65,3
157.12,53.52,0.65,6.61,2405.49,3
157.11,53.49,0.65,6.62,2406.75,3
157.02,53.56,0.66,6.6,2405.26,3
157.03,53.57,0.66,6.61,2406.22,3
157.01,53.59,0.66,6.62,2406.39,3
157.03,53.61,0.65,6.6,2405.33,3
156.99,53.65,0.67,6.61,2402.61,3
156.99,53.65,0.66,6.6,2403.06,3
157.03,53.67,0.65,6.61,2401.9,3
157.05,53.65,0.65,6.6,2402.36,3
157.08,53.64,0.66,6.61,2402.15,3
157.0,53.64,0.64,6.6,2403.07,3
156.99,53.65,0.65,6.61,2400.85,3
156.99,53.68,0.65,6.59,2400.5,3
157.01,53.7,0.65,6.61,2400.49,3
157.04,53.69,0.66,6.61,2402.23,3
157.26,53.69,0.65,6.61,2405.61,3
157.09,53.7,0.66,6.61,2400.75,3
157.09,53.74,0.66,6.61,2402.05,3
157.04,53.77,0.67,6.6,2401.46,3
157.02,53.78,0.66,6.61,2399.83,3
157.02,53.77,0.65,6.61,2400.66,3
156.99,53.76,0.65,6.61,2401.51,3
156.99,53.77,0.67,6.6,2402.14,3
157.02,53.76,0.66,6.61,2402.49,3
156.99,53.78,0.66,6.6,2401.57,3
157.08,53.81,0.65,6.61,2402.04,3
157.09,53.82,0.66,6.6,2403.12,3
157.04,53.8,0.65,6.61,2402.84,3
157.04,53.84,0.65,6.61,2403.62,3
157.03,53.83,0.66,6.6,2401.36,3
157.03,53.84,0.67,6.61,2401.03,3
157.08,53.84,0.66,6.61,2402.87,3
156.99,53.86,0.66,6.61,2400.64,3
156.99,53.83,0.67,6.6,2399.54,3
156.99,53.85,0.66,6.6,2399.45,3
156.95,53.89,0.66,6.6,2398.22,3
156.96,53.91,0.65,6.6,2398.93,3
156.99,53.86,0.67,6.6,2400.48,3
156.98,53.85,0.65,6.6,2398.54,3
156.98,53.88,0.67,6.61,2399.58,3
156.97,53.87,0.65,6.61,2399.49,3
156.96,53.87,0.66,6.6,2399.85,3
156.95,53.9,0.66,6.6,2401.13,3
156.97,53.93,0.67,6.6,2401.22,3
156.97,53.88,0.65,6.6,2399.67,3
156.96,53.89,0.65,6.6,2399.99,3
156.93,53.93,0.66,6.6,2401.2,3
156.95,53.9,0.66,6.61,2400.57,3
157.05,53.96,0.65,6.59,2401.16,3
157.04,53.94,0.66,6.6,2401.2,3
157.01,53.9,0.67,6.61,2400.3,3
157.09,53.97,0.66,6.6,2400.39,3
157.09,53.95,0.68,6.59,2400.85,3
157.07,53.95,0.67,6.59,2400.78,3
157.02,53.99,0.66,6.61,2398.26,3
157.1,53.98,0.68,6.6,2400.2,3
157.1,54.01,0.66,6.59,2400.45,3
157.12,54.03,0.67,6.59,2400.6,3
157.18,54.03,0.66,6.6,2401.51,3
157.11,54.05,0.66,6.61,2400.18,3
157.05,54.05,0.67,6.59,2400.62,3
157.01,54.05,0.66,6.61,2398.9,3
157.09,54.03,0.66,6.61,2398.38,3
157.06,54.04,0.67,6.59,2398.66,3
157.16,54.05,0.67,6.6,2401.54,3
157.05,54.08,0.67,6.6,2402.05,3
157.04,54.07,0.67,6.61,2397.01,3
157.05,54.1,0.68,6.59,2394.59,3
157.15,54.11,0.67,6.6,2394.86,3
157.08,54.1,0.67,6.6,2392.95,3
156.99,54.09,0.66,6.61,2393.11,3
157.01,54.1,0.66,6.59,2394.66,3
157.0,54.13,0.67,6.6,2395.77,3
157.05,54.11,0.67,6.59,2395.13,3
156.99,54.13,0.66,6.6,2395.41,3
157.05,54.16,0.67,6.59,2396.84,3
157.01,54.17,0.65,6.6,2397.55,3
156.97,54.19,0.65,6.59,2397.67,3
156.94,54.2,0.66,6.6,2397.55,3
156.97,54.18,0.66,6.61,2397.19,3
156.99,54.17,0.65,6.59,2397.81,3
156.96,54.15,0.66,6.6,2397.29,3
156.97,54.19,0.67,6.59,2397.78,3
157.01,54.19,0.67,6.6,2399.6,3
156.99,54.23,0.68,6.59,2396.14,3
156.96,54.24,0.65,6.59,2396.09,3
156.95,54.24,0.67,6.59,2397.15,3
156.93,54.24,0.66,6.6,2397.77,3
157.06,54.25,0.66,6.6,2397.7,3
156.99,54.24,0.65,6.59,2397.12,3
157.01,54.26,0.66,6.6,2399.01,3
157.01,54.26,0.65,6.59,2399.28,3
156.96,54.29,0.66,6.6,2399.73,3
156.98,54.3,0.67,6.59,2399.27,3
156.95,54.3,0.67,6.59,2398.14,3
157.0,54.32,0.66,6.6,2400.49,3
157.02,54.32,0.66,6.6,2400.62,3
156.39,54.27,0.65,6.31,2427.4,3
174.89,54.14,0.74,3.02,2676.66,3
156.37,54.2,0.81,6.47,2425.9,3
156.49,54.16,0.71,6.39,2427.28,3
167.47,54.12,0.73,4.29,2570.48,3
167.31,54.16,0.74,4.27,2568.06,3
156.55,54.27,0.68,6.23,2423.72,3
156.8,54.23,0.66,6.23,2428.29,3
156.6,54.21,0.66,6.22,2425.15,3
156.56,54.19,0.66,6.23,2422.02,3
156.35,54.19,0.66,6.23,2419.46,3
156.25,54.19,0.66,6.26,2419.26,3
156.2,54.17,0.66,6.26,2420.47,3
156.23,54.21,0.66,6.26,2420.11,3
156.22,54.19,0.66,6.26,2416.43,3
156.22,54.18,0.65,6.26,2418.34,3
156.2,54.2,0.66,6.26,2417.23,3
156.24,54.21,0.67,6.26,2418.3,3
156.24,54.21,0.66,6.27,2419.1,3
156.22,54.19,0.66,6.27,2420.48,3
156.22,54.2,0.66,6.27,2418.63,3
156.14,54.18,0.66,6.28,2417.65,3
156.14,54.18,0.66,6.28,2416.37,3
156.12,54.22,0.66,6.28,2414.88,3
156.14,54.22,0.65,6.28,2416.72,3
156.16,54.21,0.66,6.27,2417.13,3
156.15,54.2,0.65,6.28,2415.72,3
156.15,54.23,0.66,6.27,2416.32,3
156.19,54.27,0.66,6.28,2415.54,3
156.14,54.24,0.66,6.28,2414.68,3
156.14,54.24,0.65,6.28,2415.57,3
156.11,54.26,0.66,6.26,2414.58,3
156.08,54.28,0.66,6.28,2415.26,3
156.1,54.3,0.66,6.28,2415.5,3
156.14,54.3,0.66,6.27,2416.61,3
156.18,54.31,0.66,6.26,2414.04,3
156.15,54.3,0.66,6.28,2413.9,3
174.52,54.27,0.74,3.04,2657.64,3
156.7,54.38,0.75,6.32,2420.0,3
156.35,54.39,0.66,6.26,2415.95,3
156.33,54.42,0.66,6.25,2416.57,3
156.45,54.4,0.66,6.35,2403.78,3
156.53,54.4,0.66,6.31,2403.59,3
156.78,54.43,0.66,6.32,2407.08,3
156.63,54.44,0.66,6.32,2404.98,3
156.61,54.43,0.66,6.32,2405.3,3
156.62,54.44,0.66,6.32,2405.66,3
156.54,54.43,0.66,6.32,2406.07,3
156.54,54.43,0.66,6.32,2407.7,3
156.54,54.45,0.66,6.32,2407.38,3
156.55,54.43,0.65,6.32,2407.6,3
156.53,54.42,0.65,6.35,2407.44,3
156.43,54.43,0.66,6.36,2403.99,3
156.41,54.44,0.66,6.36,2402.78,3
156.43,54.42,0.65,6.35,2403.28,3
156.45,54.42,0.66,6.35,2403.86,3
156.47,54.42,0.66,6.36,2404.47,3
156.47,54.4,0.66,6.36,2405.02,3
156.43,54.42,0.66,6.36,2405.29,3
156.47,54.43,0.66,6.36,2407.5,3
156.45,54.42,0.65,6.36,2403.61,3
156.52,54.4,0.66,6.36,2403.92,3
156.43,54.38,0.66,6.37,2403.36,3
156.47,54.42,0.66,6.37,2404.43,3
156.48,54.43,0.65,6.37,2404.19,3
156.47,54.38,0.66,6.37,2405.48,3
156.47,54.37,0.65,6.37,2406.0,3
156.49,54.4,0.66,6.37,2405.77,3
156.45,54.43,0.66,6.37,2405.63,3
156.45,54.42,0.66,6.37,2405.48,3
156.47,54.41,0.66,6.37,2406.16,3
156.46,54.42,0.66,6.37,2405.42,3
156.38,54.4,0.66,6.38,2405.76,3
156.39,54.42,0.65,6.35,2407.41,3
156.38,54.41,0.65,6.37,2405.51,3
156.41,54.41,0.65,6.37,2406.05,3
156.4,54.44,0.66,6.35,2404.36,3
156.4,54.41,0.64,6.36,2404.64,3
156.41,54.42,0.65,6.38,2404.9,3
156.42,54.42,0.65,6.36,2405.53,3
156.43,54.4,0.73,6.37,2402.88,3
156.4,54.38,0.66,6.38,2402.67,3
156.83,54.41,0.68,6.61,2395.17,3
157.1,54.44,0.67,6.55,2397.76,3
157.09,54.53,0.67,6.55,2397.08,3
157.08,54.53,0.67,6.54,2395.54,3
157.07,54.62,0.67,6.54,2394.97,3
157.08,54.66,0.68,6.55,2394.77,3
157.07,54.67,0.68,6.54,2394.22,3
157.07,54.72,0.67,6.54,2394.2,3
157.04,54.76,0.68,6.54,2393.3,3
157.03,54.75,0.68,6.56,2396.07,3
157.04,54.81,0.66,6.56,2398.88,3
156.93,54.8,0.66,6.58,2397.93,3
156.95,54.84,0.65,6.57,2395.35,3
156.95,54.85,0.68,6.58,2393.42,3
156.96,54.86,0.67,6.58,2394.79,3
156.91,54.87,0.66,6.57,2394.85,3
156.93,54.89,0.66,6.57,2392.73,3
156.92,54.92,0.66,6.57,2390.43,3
156.93,54.95,0.66,6.56,2389.79,3
156.9,54.95,0.65,6.57,2391.76,3
156.89,55.02,0.67,6.57,2390.84,3
156.79,55.02,0.67,6.59,2390.01,3
156.79,55.04,0.66,6.59,2389.81,3
156.8,55.05,0.66,6.59,2390.3,3
156.82,55.04,0.66,6.59,2390.55,3
156.84,55.06,0.65,6.59,2392.34,3
156.8,55.05,0.65,6.59,2392.22,3
156.84,55.06,0.66,6.59,2393.52,3
156.85,54.99,0.67,6.59,2394.49,3
156.84,54.97,0.65,6.59,2394.22,3
156.87,54.95,0.67,6.59,2393.85,3
156.82,54.9,0.67,6.6,2393.99,3
156.82,54.88,0.67,6.61,2393.25,3
156.85,54.84,0.65,6.6,2390.98,3
156.84,54.82,0.65,6.6,2392.34,3
156.84,54.78,0.66,6.59,2393.98,3
156.86,54.74,0.65,6.59,2394.71,3
156.85,54.73,0.67,6.58,2395.69,3
156.83,54.73,0.66,6.6,2396.49,3
156.85,54.67,0.66,6.6,2396.26,3
156.86,54.64,0.65,6.61,2397.6,3
156.82,54.49,0.68,6.62,2403.73,3
156.8,54.54,0.65,6.6,2401.77,3
156.81,54.52,0.66,6.59,2397.82,3
156.82,54.45,0.66,6.59,2397.36,3
156.8,54.44,0.67,6.59,2397.49,3
156.86,54.44,0.65,6.6,2398.7,3
156.85,54.41,0.65,6.6,2396.43,3
156.83,54.42,0.65,6.6,2397.27,3
156.8,54.39,0.67,6.59,2396.95,3
156.85,54.37,0.65,6.59,2398.1,3
173.18,54.26,0.74,3.27,2652.4,3
156.4,54.3,0.68,6.25,2424.19,3
173.31,54.14,0.73,3.23,2652.81,3
173.32,54.19,0.76,3.23,2651.72,3
173.3,54.25,0.78,3.23,2648.31,3
173.29,54.27,0.78,3.23,2646.48,3
173.28,54.32,0.79,3.24,2646.49,3
156.38,54.5,0.69,6.24,2419.17,3
173.28,54.37,0.75,3.24,2649.53,3
173.28,54.46,0.78,3.24,2648.89,3
173.29,54.57,0.78,3.23,2648.25,3
173.11,54.68,0.77,3.28,2646.08,3
173.15,54.76,0.78,3.26,2646.29,3
173.12,54.84,0.78,3.27,2645.59,3
173.07,54.95,0.77,3.29,2645.3,3
173.07,55.08,0.76,3.27,2641.79,3
173.07,55.17,0.76,3.28,2641.78,3
173.05,55.25,0.76,3.26,2641.65,3
173.01,55.31,0.77,3.29,2643.41,3
173.0,55.4,0.77,3.28,2642.3,3
172.95,55.54,0.76,3.29,2638.87,3
172.85,55.62,0.76,3.31,2636.84,3
166.7,55.76,0.73,4.3,2553.14,3
172.83,55.79,0.75,3.3,2634.61,3
172.81,55.85,0.75,3.29,2634.99,3
172.78,55.89,0.74,3.32,2635.03,3
172.78,55.93,0.74,3.3,2635.23,3
180.41,55.99,0.78,2.08,2736.73,3
173.26,56.02,0.78,3.28,2645.47,3
172.75,56.1,0.75,3.3,2636.34,3
172.73,56.21,0.76,3.3,2634.93,3
172.68,56.28,0.75,3.29,2634.63,3
172.67,56.33,0.75,3.29,2634.62,3
172.69,56.4,0.75,3.29,2633.56,3
172.68,56.45,0.74,3.29,2632.39,3
172.66,56.48,0.75,3.3,2631.27,3
172.65,56.49,0.75,3.29,2631.26,3
166.44,56.57,0.71,4.3,2547.8,3
172.65,56.58,0.74,3.29,2632.42,3
172.66,56.63,0.74,3.29,2633.73,3
155.55,56.74,0.66,6.25,2400.8,3
172.84,56.59,0.72,3.36,2619.74,3
173.09,56.67,0.75,3.31,2621.41,3
173.11,56.69,0.74,3.29,2625.1,3
156.01,56.78,0.66,6.31,2392.65,3
180.7,56.64,0.74,2.08,2722.54,3
156.74,56.76,0.68,6.33,2404.32,3
173.16,56.58,0.72,3.29,2623.31,3
173.1,56.68,0.74,3.28,2621.99,3
173.08,56.73,0.74,3.3,2622.19,3
156.03,56.85,0.66,6.32,2393.86,3
173.09,56.67,0.72,3.3,2623.39,3
180.63,56.72,0.76,2.08,2721.93,3
156.57,56.78,0.7,6.35,2403.3,3
156.22,56.68,0.64,6.35,2396.15,3
173.13,56.56,0.72,3.32,2623.99,3
173.03,56.68,0.73,3.32,2621.55,3
172.95,56.68,0.74,3.33,2619.8,3
172.94,56.69,0.73,3.33,2619.07,3
172.93,56.7,0.74,3.34,2619.54,3
155.84,56.8,0.65,6.35,2389.99,3
172.95,56.65,0.72,3.32,2622.0,3
172.84,56.72,0.74,3.35,2620.75,3
172.84,56.74,0.73,3.34,2620.64,3
172.86,56.78,0.73,3.34,2621.44,3
172.84,56.78,0.72,3.34,2621.51,3
172.85,56.83,0.73,3.34,2621.1,3
172.84,56.87,0.73,3.34,2621.14,3
172.84,56.88,0.73,3.35,2619.25,3
172.84,56.92,0.74,3.34,2619.09,3
155.7,57.03,0.65,6.37,2387.04,3
172.83,56.86,0.71,3.35,2617.32,3
172.78,56.94,0.72,3.35,2617.96,3
172.78,56.97,0.73,3.34,2617.67,3
155.64,57.07,0.65,6.36,2387.99,3
172.82,56.9,0.71,3.34,2620.22,3
166.6,56.97,0.7,4.36,2534.06,3
155.62,57.01,0.64,6.36,2386.91,3
172.83,56.79,0.71,3.35,2619.23,3
172.82,56.87,0.73,3.32,2617.44,3
172.89,56.91,0.72,3.32,2618.51,3
172.81,56.93,0.72,3.33,2616.54,3
156.08,57.07,0.72,6.58,2378.41,3
156.39,56.97,0.7,6.52,2382.6,3
156.42,56.94,0.66,6.54,2382.63,3
156.41,56.93,0.67,6.55,2383.8,3
156.43,56.88,0.68,6.54,2384.46,3
156.4,56.83,0.68,6.54,2385.91,3
156.45,56.81,0.67,6.54,2388.63,3
156.41,56.73,0.66,6.54,2388.07,3
156.43,56.67,0.68,6.55,2389.9,3
156.48,56.64,0.67,6.55,2387.09,3
156.47,56.58,0.66,6.55,2386.19,3
156.39,56.55,0.65,6.58,2385.85,3
156.37,56.52,0.66,6.56,2386.9,3
156.4,56.45,0.66,6.58,2387.03,3
156.39,56.44,0.67,6.57,2385.76,3
156.42,56.43,0.65,6.58,2388.12,3
156.44,56.37,0.67,6.58,2387.94,3
156.39,56.36,0.65,6.58,2387.6,3
156.43,56.29,0.66,6.58,2387.52,3
156.4,56.3,0.65,6.58,2388.92,3
156.4,56.26,0.65,6.57,2387.86,3
156.3,56.26,0.63,6.6,2387.78,3
156.31,56.22,0.64,6.6,2386.09,3
156.34,56.18,0.64,6.6,2386.62,3
156.35,56.19,0.65,6.6,2386.15,3
156.38,56.19,0.64,6.59,2386.62,3
156.35,56.18,0.65,6.59,2386.31,3
156.39,56.14,0.64,6.59,2387.75,3
156.37,56.11,0.64,6.59,2388.4,3
156.39,56.12,0.64,6.59,2389.03,3
156.38,56.1,0.63,6.59,2387.09,3
156.34,56.08,0.65,6.59,2387.61,3
156.34,56.09,0.63,6.6,2387.74,3
156.36,56.05,0.64,6.6,2389.5,3
156.35,56.06,0.64,6.6,2389.9,3
156.34,56.06,0.64,6.59,2390.83,3
156.36,56.05,0.64,6.59,2390.87,3
156.38,56.02,0.63,6.6,2391.14,3
180.92,55.99,0.73,2.13,2716.95,3
156.87,56.16,0.75,6.6,2401.29,3
156.55,56.12,0.65,6.59,2395.43,3
156.48,56.04,0.66,6.59,2394.98,3
156.57,56.08,0.65,6.58,2395.42,3
156.55,56.07,0.65,6.57,2392.26,3
173.45,56.0,0.73,3.4,2617.7,3
156.33,56.23,0.66,6.59,2387.2,3
156.31,56.16,0.64,6.57,2387.06,3
156.3,56.15,0.64,6.57,2387.04,3
156.35,56.11,0.64,6.58,2388.15,3
156.3,56.09,0.63,6.57,2387.55,3
156.31,56.08,0.62,6.58,2388.54,3
172.9,55.98,0.71,3.28,2643.53,3
173.07,55.97,0.73,3.24,2643.4,3
173.08,55.99,0.74,3.25,2641.69,3
173.06,55.97,0.74,3.23,2641.54,3
173.04,56.01,0.75,3.24,2640.92,3
173.03,56.03,0.74,3.23,2641.39,3
173.01,56.09,0.73,3.23,2640.47,3
180.7,56.17,0.76,2.02,2740.64,3
173.45,56.18,0.78,3.24,2646.84,3
172.99,56.27,0.74,3.24,2635.51,3
172.9,56.36,0.73,3.23,2633.89,3
172.78,56.45,0.73,3.27,2633.68,3
172.77,56.52,0.73,3.27,2633.74,3
172.77,56.57,0.74,3.28,2634.0,3
172.77,56.66,0.73,3.28,2634.54,3
172.79,56.71,0.73,3.27,2634.86,3
172.78,56.76,0.73,3.27,2633.55,3
172.8,56.83,0.71,3.26,2633.72,3
172.78,56.87,0.73,3.27,2634.84,3
155.51,57.05,0.65,6.24,2401.76,3
172.77,56.92,0.71,3.27,2633.85,3
172.68,57.0,0.73,3.29,2632.98,3
172.72,57.03,0.73,3.29,2633.52,3
180.38,57.11,0.74,2.08,2732.25,3
173.06,57.1,0.76,3.28,2637.45,3
172.6,57.11,0.72,3.29,2630.03,3
172.59,57.22,0.73,3.28,2631.24,3
172.61,57.28,0.72,3.29,2631.22,3
172.6,57.31,0.72,3.28,2629.68,3
172.59,57.33,0.72,3.28,2629.45,3
172.62,57.36,0.72,3.29,2632.44,3
172.58,57.37,0.72,3.28,2631.95,3
172.55,57.38,0.72,3.28,2628.83,3
172.56,57.42,0.71,3.28,2629.09,3
172.54,57.47,0.71,3.28,2630.78,3
172.57,57.47,0.71,3.28,2628.44,3
172.51,57.5,0.71,3.29,2626.89,3
172.51,57.53,0.72,3.28,2625.54,3
172.54,57.52,0.71,3.28,2625.83,3
172.54,57.54,0.71,3.28,2625.87,3
172.52,57.57,0.72,3.28,2628.07,3
172.65,57.59,0.72,3.32,2617.52,3
172.94,57.6,0.72,3.29,2614.71,3
172.91,57.63,0.72,3.3,2618.58,3
172.92,57.62,0.72,3.29,2621.71,3
172.89,57.63,0.72,3.29,2617.07,3
172.93,57.63,0.72,3.28,2618.04,3
172.94,57.67,0.72,3.3,2619.97,3
172.94,57.69,0.71,3.28,2620.99,3
172.95,57.7,0.72,3.28,2619.21,3
172.93,57.7,0.72,3.28,2618.83,3
155.7,57.84,0.63,6.32,2389.23,3
172.85,57.63,0.7,3.32,2621.08,3
155.64,57.77,0.64,6.35,2389.84,3
172.88,57.58,0.7,3.32,2624.14,3
166.65,57.64,0.69,4.33,2540.06,3
155.66,57.65,0.63,6.35,2389.89,3
172.9,57.5,0.7,3.3,2621.45,3
172.86,57.5,0.71,3.32,2620.86,3
172.87,57.51,0.72,3.3,2610.36,3
172.86,57.51,0.73,3.33,2605.53,3
172.87,57.5,0.73,3.32,2602.86,3
172.77,57.51,0.73,3.33,2601.56,3
172.75,57.56,0.73,3.33,2602.05,3
172.76,57.56,0.73,3.33,2602.71,3
172.76,57.56,0.73,3.33,2604.21,3
172.77,57.59,0.73,3.35,2605.68,3
172.78,57.58,0.73,3.33,2607.36,3
172.77,57.63,0.73,3.33,2607.45,3
172.75,57.63,0.73,3.34,2607.14,3
172.73,57.65,0.73,3.35,2603.96,3
172.76,57.65,0.72,3.32,2604.79,3
172.73,57.69,0.72,3.32,2606.16,3
172.68,57.72,0.72,3.33,2604.54,3
172.71,57.7,0.73,3.34,2599.5,3
172.69,57.72,0.73,3.34,2599.48,3
172.71,57.74,0.72,3.34,2601.42,3
172.71,57.77,0.73,3.32,2601.87,3
172.7,57.76,0.72,3.33,2600.24,3
172.72,57.76,0.72,3.33,2600.04,3
172.7,57.79,0.73,3.33,2599.12,3
172.68,57.77,0.73,3.34,2599.34,3
155.97,57.9,0.84,6.59,2361.75,3
156.28,57.79,0.71,6.52,2366.33,3
173.39,57.68,0.78,3.39,2598.52,3
156.29,57.82,0.76,6.54,2367.94,3
156.28,57.74,0.72,6.53,2368.74,3
156.31,57.63,0.71,6.53,2367.17,3
156.33,57.57,0.71,6.53,2367.37,3
173.4,57.47,0.83,3.38,2597.36,3
156.32,57.63,0.78,6.52,2367.25,3
156.31,57.47,0.71,6.52,2369.02,3
156.34,57.4,0.69,6.53,2370.27,3
156.26,57.33,0.7,6.56,2370.83,3
156.21,57.28,0.68,6.56,2368.45,3
173.3,57.16,0.77,3.43,2597.16,3
156.26,57.33,0.73,6.57,2367.35,3
173.31,57.18,0.74,3.42,2597.92,3
173.32,57.21,0.77,3.43,2597.44,3
156.2,57.36,0.71,6.57,2366.59,3
156.24,57.25,0.69,6.56,2367.07,3
173.32,57.13,0.75,3.42,2597.57,3
156.25,57.32,0.72,6.57,2366.35,3
156.13,57.25,0.68,6.58,2365.87,3
156.14,57.19,0.66,6.57,2367.22,3
156.16,57.13,0.65,6.58,2369.85,3
173.24,57.04,0.74,3.43,2601.76,3
173.25,57.11,0.79,3.43,2601.93,3
156.15,57.27,0.71,6.59,2369.16,3
156.16,57.15,0.66,6.58,2369.2,3
156.17,57.11,0.66,6.57,2366.71,3
173.28,57.02,0.79,3.44,2598.88,3
156.2,57.19,0.73,6.58,2368.93,3
156.15,57.05,0.65,6.56,2370.4,3
156.16,56.99,0.65,6.57,2369.88,3
180.87,56.92,0.76,2.12,2698.17,3
156.6,57.05,0.74,6.57,2375.89,3
156.23,56.97,0.67,6.57,2366.45,3
173.22,56.9,0.73,3.41,2594.98,3
156.09,57.08,0.67,6.56,2364.61,3
173.2,56.95,0.75,3.41,2596.83,3
156.16,57.12,0.71,6.57,2366.31,3
156.16,57.01,0.65,6.57,2366.41,3
156.15,56.9,0.72,6.56,2370.32,3
156.18,56.86,0.66,6.55,2371.38,3
156.2,56.82,0.64,6.56,2371.29,3
156.2,56.77,0.65,6.57,2370.44,3
156.21,56.7,0.65,6.56,2369.97,3
156.23,56.63,0.67,6.56,2370.74,3
156.24,56.59,0.66,6.57,2370.22,3
